Frequency (Hz)	Level (dB)
7622.753906	-51.336491
7665.820312	-51.599701
7708.886719	-51.781651
7751.953125	-51.727036
7795.019531	-51.741272
7838.085938	-52.376026
7881.152344	-52.392807
7924.218750	-52.171268
7967.285156	-51.918839
8010.351562	-51.537746
8053.417969	-51.594452
8096.484375	-51.776943
8139.550781	-51.953884
8182.617188	-52.057976
8225.683594	-51.584545
8268.750000	-51.418537
8311.816406	-51.659145
8354.882812	-51.675625
8397.949219	-51.526867
8441.015625	-51.521656
8484.082031	-51.294884
8527.148438	-51.321884
8570.214844	-51.774414
8613.281250	-51.499180
8656.347656	-51.651623
8699.414062	-51.613968
8742.480469	-51.575569
8785.546875	-51.759205
8828.613281	-51.773808
8871.679688	-51.942989
8914.746094	-52.115292
8957.812500	-51.559647
9000.878906	-51.539421
9043.945312	-51.606422
9087.011719	-51.778511
9130.078125	-51.613514
9173.144531	-51.892204
9216.210938	-51.911263
9259.277344	-52.061623
9302.343750	-51.777641
9345.410156	-51.984848
9388.476562	-52.170158
9431.542969	-51.792004
9474.609375	-51.692757
9517.675781	-51.809822
9560.742188	-51.895760
9603.808594	-51.688580
9646.875000	-51.822704
9689.941406	-52.054966
9733.007812	-52.257195
9776.074219	-52.516800
9819.140625	-52.367928
9862.207031	-52.450916
9905.273438	-52.227364
9948.339844	-52.228279
9991.406250	-52.259377
10034.472656	-52.090515
10077.539062	-52.241329
10120.605469	-52.028706
10163.671875	-51.728043
10206.738281	-51.885689
10249.804688	-52.031540
10292.871094	-51.642822
10335.937500	-51.215260
10379.003906	-51.572166
10422.070312	-51.728371
10465.136719	-51.213425
10508.203125	-50.915176
10551.269531	-50.976677
10594.335938	-50.663429
10637.402344	-50.680485
10680.468750	-50.545387
10723.535156	-50.111794
10766.601562	-50.145229
10809.667969	-49.858585
10852.734375	-49.732632
10895.800781	-49.751858
10938.867188	-49.671650
10981.933594	-49.797821
11025.000000	-50.099571
11068.066406	-50.207233
11111.132812	-49.870766
11154.199219	-50.023945
11197.265625	-50.461395
11240.332031	-50.612492
11283.398438	-50.573315
11326.464844	-50.766537
11369.531250	-51.110432
11412.597656	-51.271130
11455.664062	-51.338993
11498.730469	-51.788734
11541.796875	-52.379078
11584.863281	-52.859718
11627.929688	-52.826557
11670.996094	-53.070492
11714.062500	-53.425114
11757.128906	-53.545090
11800.195312	-53.950668
11843.261719	-54.159813
11886.328125	-54.070572
11929.394531	-54.240818
11972.460938	-54.605873
12015.527344	-54.861099
12058.593750	-54.954052
12101.660156	-55.132626
12144.726562	-54.943214
12187.792969	-54.911621
12230.859375	-55.022816
12273.925781	-55.268597
12316.992188	-55.608845
12360.058594	-55.963951
12403.125000	-56.245762
12446.191406	-56.486290
12489.257812	-56.694828
12532.324219	-56.525253
12575.390625	-56.284660
12618.457031	-56.376122
12661.523438	-56.739861
12704.589844	-56.842327
12747.656250	-56.645401
12790.722656	-56.711651
12833.789062	-56.691273
12876.855469	-56.987415
12919.921875	-57.133995
12962.988281	-57.183231
13006.054688	-57.099300
13049.121094	-56.884216
13092.187500	-56.823254
13135.253906	-56.875050
13178.320312	-56.798573
13221.386719	-56.850727
13264.453125	-57.082756
13307.519531	-56.895844
13350.585938	-56.619167
13393.652344	-56.994156
13436.718750	-56.994347
13479.785156	-56.554443
13522.851562	-56.529362
13565.917969	-56.306236
13608.984375	-56.416328
13652.050781	-56.406353
13695.117188	-56.298035
13738.183594	-56.670925
13781.250000	-56.898342
13824.316406	-57.095314
13867.382812	-56.853546
13910.449219	-56.346004
13953.515625	-56.259315
13996.582031	-56.309807
14039.648438	-56.425308
