Frequency (Hz)	Level (dB)
43.066406	-32.223587
86.132812	-31.272224
129.199219	-36.855080
172.265625	-38.406933
215.332031	-38.320515
258.398438	-42.528126
301.464844	-44.879070
344.531250	-45.168106
387.597656	-44.391068
430.664062	-44.087440
473.730469	-44.377369
516.796875	-43.159374
559.863281	-42.631432
602.929688	-42.709183
645.996094	-41.443871
689.062500	-41.114628
732.128906	-41.219906
775.195312	-40.953663
818.261719	-42.396076
861.328125	-44.123905
904.394531	-44.970165
947.460938	-45.569355
990.527344	-45.702866
1033.593750	-44.792023
1076.660156	-44.037567
1119.726562	-43.920868
1162.792969	-43.985256
1205.859375	-44.836624
1248.925781	-44.782551
1291.992188	-44.706165
1335.058594	-44.889889
1378.125000	-44.784752
1421.191406	-44.286610
1464.257812	-44.076027
1507.324219	-43.340183
1550.390625	-42.667557
1593.457031	-42.838970
1636.523438	-43.811886
1679.589844	-43.838428
1722.656250	-43.894150
1765.722656	-44.939217
1808.789062	-45.351471
1851.855469	-45.894566
1894.921875	-45.310352
1937.988281	-44.912189
1981.054688	-44.887348
2024.121094	-45.254875
2067.187500	-45.633347
2110.253906	-45.349609
2153.320312	-45.777473
2196.386719	-46.418179
2239.453125	-47.505600
2282.519531	-48.203079
2325.585938	-47.862915
2368.652344	-48.276730
2411.718750	-48.286743
2454.785156	-48.462200
2497.851562	-48.777050
2540.917969	-49.647163
2583.984375	-50.250160
2627.050781	-50.351879
2670.117188	-50.113071
2713.183594	-49.298443
2756.250000	-49.431644
2799.316406	-49.932594
2842.382812	-50.201435
2885.449219	-50.124138
2928.515625	-50.244045
2971.582031	-50.072792
3014.648438	-49.760941
3057.714844	-49.255821
3100.781250	-49.722115
3143.847656	-50.054707
3186.914062	-50.174480
3229.980469	-50.465675
3273.046875	-50.239342
3316.113281	-50.169910
3359.179688	-49.938850
3402.246094	-49.403915
3445.312500	-50.169487
3488.378906	-50.499107
3531.445312	-50.400398
3574.511719	-50.640366
3617.578125	-50.482830
3660.644531	-50.177788
3703.710938	-50.017761
3746.777344	-50.316147
3789.843750	-50.045460
3832.910156	-49.825642
3875.976562	-49.690750
3919.042969	-49.843033
3962.109375	-49.940285
4005.175781	-50.516434
4048.242188	-50.874741
4091.308594	-50.804367
4134.375000	-50.192192
4177.441406	-50.171745
4220.507812	-50.226143
4263.574219	-49.967445
4306.640625	-49.622585
4349.707031	-49.727833
4392.773438	-49.891056
4435.839844	-50.397961
4478.906250	-50.595898
4521.972656	-50.903885
4565.039062	-51.025608
4608.105469	-50.755455
4651.171875	-50.504753
4694.238281	-50.391285
4737.304688	-50.361958
4780.371094	-50.265491
4823.437500	-50.507515
4866.503906	-50.657749
4909.570312	-50.950420
4952.636719	-50.702156
4995.703125	-50.575359
5038.769531	-50.581257
5081.835938	-50.520214
5124.902344	-50.680809
5167.968750	-50.424595
5211.035156	-50.275249
5254.101562	-49.858723
5297.167969	-49.652863
5340.234375	-49.695793
5383.300781	-50.043343
5426.367188	-50.000542
5469.433594	-49.504208
5512.500000	-49.449905
5555.566406	-49.806370
5598.632812	-49.735218
5641.699219	-49.725483
5684.765625	-49.927341
5727.832031	-50.387302
5770.898438	-50.476494
5813.964844	-50.224834
5857.031250	-50.087799
5900.097656	-50.530712
5943.164062	-51.278568
5986.230469	-51.561211
6029.296875	-51.550041
6072.363281	-51.293037
6115.429688	-51.372665
6158.496094	-51.481804
6201.562500	-51.622696
6244.628906	-51.514645
6287.695312	-51.531628
6330.761719	-51.407928
6373.828125	-51.048435
6416.894531	-51.042847
6459.960938	-51.472900
6503.027344	-51.855515
6546.093750	-51.835293
6589.160156	-51.855930
6632.226562	-52.065628
6675.292969	-51.987450
6718.359375	-51.657089
6761.425781	-51.222515
6804.492188	-51.502731
6847.558594	-51.905476
6890.625000	-51.854671
6933.691406	-51.744194
6976.757812	-51.672707
7019.824219	-51.894329
7062.890625	-52.249809
7105.957031	-52.243515
7149.023438	-52.133102
7192.089844	-52.032246
7235.156250	-51.604607
7278.222656	-51.463726
7321.289062	-51.414814
7364.355469	-51.779118
7407.421875	-51.655563
7450.488281	-51.653610
7493.554688	-51.562561
7536.621094	-51.246006
7579.687500	-51.167416
